timestamp_epoch,timestamp_data_hora,seq,byte_hex,byte_bin_msb,byte_bin_lsb_temporal,uart_frame_reconstruido
1776104001.464082,13/04/2026 15:13:21,100,FE,11111110,01111111,0 01111111 1
1776104011.476362,13/04/2026 15:13:31,101,00,00000000,00000000,0 00000000 1
1776104011.476522,13/04/2026 15:13:31,102,18,00011000,00011000,0 00011000 1
1776104011.476587,13/04/2026 15:13:31,103,E0,11100000,00000111,0 00000111 1
1776104011.476655,13/04/2026 15:13:31,104,18,00011000,00011000,0 00011000 1
1776104011.476720,13/04/2026 15:13:31,105,E0,11100000,00000111,0 00000111 1
1776104011.476784,13/04/2026 15:13:31,106,98,10011000,00011001,0 00011001 1
1776104011.476847,13/04/2026 15:13:31,107,E0,11100000,00000111,0 00000111 1
1776104011.476914,13/04/2026 15:13:31,108,98,10011000,00011001,0 00011001 1
1776104011.476979,13/04/2026 15:13:31,109,E0,11100000,00000111,0 00000111 1
1776104011.477036,13/04/2026 15:13:31,110,18,00011000,00011000,0 00011000 1
1776104011.477095,13/04/2026 15:13:31,111,E0,11100000,00000111,0 00000111 1
1776104011.477155,13/04/2026 15:13:31,112,18,00011000,00011000,0 00011000 1
1776104011.477211,13/04/2026 15:13:31,113,E0,11100000,00000111,0 00000111 1
1776104011.477265,13/04/2026 15:13:31,114,18,00011000,00011000,0 00011000 1
1776104011.477318,13/04/2026 15:13:31,115,E0,11100000,00000111,0 00000111 1
1776104011.477365,13/04/2026 15:13:31,116,98,10011000,00011001,0 00011001 1
1776104011.485040,13/04/2026 15:13:31,117,1E,00011110,01111000,0 01111000 1
1776104011.485172,13/04/2026 15:13:31,118,18,00011000,00011000,0 00011000 1
1776104011.485243,13/04/2026 15:13:31,119,06,00000110,01100000,0 01100000 1
1776104011.485312,13/04/2026 15:13:31,120,FE,11111110,01111111,0 01111111 1
1776104021.496805,13/04/2026 15:13:41,121,00,00000000,00000000,0 00000000 1
1776104021.496969,13/04/2026 15:13:41,122,18,00011000,00011000,0 00011000 1
1776104021.497025,13/04/2026 15:13:41,123,E0,11100000,00000111,0 00000111 1
1776104021.497070,13/04/2026 15:13:41,124,18,00011000,00011000,0 00011000 1
1776104021.497112,13/04/2026 15:13:41,125,E0,11100000,00000111,0 00000111 1
1776104021.497152,13/04/2026 15:13:41,126,98,10011000,00011001,0 00011001 1
1776104021.497192,13/04/2026 15:13:41,127,E0,11100000,00000111,0 00000111 1
1776104021.497232,13/04/2026 15:13:41,128,98,10011000,00011001,0 00011001 1
1776104021.497272,13/04/2026 15:13:41,129,E0,11100000,00000111,0 00000111 1
1776104021.497309,13/04/2026 15:13:41,130,18,00011000,00011000,0 00011000 1
1776104021.497350,13/04/2026 15:13:41,131,E0,11100000,00000111,0 00000111 1
1776104021.497391,13/04/2026 15:13:41,132,18,00011000,00011000,0 00011000 1
1776104021.497431,13/04/2026 15:13:41,133,E0,11100000,00000111,0 00000111 1
1776104021.497469,13/04/2026 15:13:41,134,18,00011000,00011000,0 00011000 1
1776104021.497507,13/04/2026 15:13:41,135,E0,11100000,00000111,0 00000111 1
1776104021.497547,13/04/2026 15:13:41,136,98,10011000,00011001,0 00011001 1
1776104021.506043,13/04/2026 15:13:41,137,1E,00011110,01111000,0 01111000 1
1776104021.506193,13/04/2026 15:13:41,138,18,00011000,00011000,0 00011000 1
1776104021.506287,13/04/2026 15:13:41,139,06,00000110,01100000,0 01100000 1
1776104021.506366,13/04/2026 15:13:41,140,FE,11111110,01111111,0 01111111 1
1776104031.517239,13/04/2026 15:13:51,141,00,00000000,00000000,0 00000000 1
1776104031.517396,13/04/2026 15:13:51,142,18,00011000,00011000,0 00011000 1
1776104031.517456,13/04/2026 15:13:51,143,E0,11100000,00000111,0 00000111 1
1776104031.517503,13/04/2026 15:13:51,144,18,00011000,00011000,0 00011000 1
1776104031.517547,13/04/2026 15:13:51,145,E0,11100000,00000111,0 00000111 1
1776104031.517590,13/04/2026 15:13:51,146,98,10011000,00011001,0 00011001 1
1776104031.517633,13/04/2026 15:13:51,147,E0,11100000,00000111,0 00000111 1
1776104031.517674,13/04/2026 15:13:51,148,98,10011000,00011001,0 00011001 1
1776104031.517715,13/04/2026 15:13:51,149,E0,11100000,00000111,0 00000111 1
1776104031.517756,13/04/2026 15:13:51,150,18,00011000,00011000,0 00011000 1
1776104031.517799,13/04/2026 15:13:51,151,E0,11100000,00000111,0 00000111 1
1776104031.517840,13/04/2026 15:13:51,152,18,00011000,00011000,0 00011000 1
1776104031.517882,13/04/2026 15:13:51,153,E0,11100000,00000111,0 00000111 1
1776104031.517923,13/04/2026 15:13:51,154,18,00011000,00011000,0 00011000 1
1776104031.517967,13/04/2026 15:13:51,155,E0,11100000,00000111,0 00000111 1
1776104031.518009,13/04/2026 15:13:51,156,98,10011000,00011001,0 00011001 1
1776104031.526531,13/04/2026 15:13:51,157,1E,00011110,01111000,0 01111000 1
1776104031.526680,13/04/2026 15:13:51,158,18,00011000,00011000,0 00011000 1
1776104031.526771,13/04/2026 15:13:51,159,06,00000110,01100000,0 01100000 1
1776104031.526850,13/04/2026 15:13:51,160,FE,11111110,01111111,0 01111111 1
1776104041.537693,13/04/2026 15:14:01,161,00,00000000,00000000,0 00000000 1
1776104041.537849,13/04/2026 15:14:01,162,18,00011000,00011000,0 00011000 1
1776104041.537908,13/04/2026 15:14:01,163,E0,11100000,00000111,0 00000111 1
1776104041.537956,13/04/2026 15:14:01,164,18,00011000,00011000,0 00011000 1
1776104041.538000,13/04/2026 15:14:01,165,E0,11100000,00000111,0 00000111 1
1776104041.538042,13/04/2026 15:14:01,166,98,10011000,00011001,0 00011001 1
1776104041.538084,13/04/2026 15:14:01,167,E0,11100000,00000111,0 00000111 1
1776104041.538125,13/04/2026 15:14:01,168,98,10011000,00011001,0 00011001 1
1776104041.538166,13/04/2026 15:14:01,169,E0,11100000,00000111,0 00000111 1
1776104041.538206,13/04/2026 15:14:01,170,18,00011000,00011000,0 00011000 1
1776104041.538249,13/04/2026 15:14:01,171,E0,11100000,00000111,0 00000111 1
1776104041.538290,13/04/2026 15:14:01,172,18,00011000,00011000,0 00011000 1
1776104041.538335,13/04/2026 15:14:01,173,E0,11100000,00000111,0 00000111 1
1776104041.538375,13/04/2026 15:14:01,174,18,00011000,00011000,0 00011000 1
1776104041.538416,13/04/2026 15:14:01,175,E0,11100000,00000111,0 00000111 1
1776104041.538458,13/04/2026 15:14:01,176,98,10011000,00011001,0 00011001 1
1776104041.546966,13/04/2026 15:14:01,177,1E,00011110,01111000,0 01111000 1
1776104041.547117,13/04/2026 15:14:01,178,18,00011000,00011000,0 00011000 1
1776104041.547216,13/04/2026 15:14:01,179,06,00000110,01100000,0 01100000 1
1776104041.547299,13/04/2026 15:14:01,180,FE,11111110,01111111,0 01111111 1
1776104051.558123,13/04/2026 15:14:11,181,00,00000000,00000000,0 00000000 1
1776104051.558289,13/04/2026 15:14:11,182,18,00011000,00011000,0 00011000 1
1776104051.558347,13/04/2026 15:14:11,183,E0,11100000,00000111,0 00000111 1
1776104051.558396,13/04/2026 15:14:11,184,18,00011000,00011000,0 00011000 1
1776104051.558441,13/04/2026 15:14:11,185,E0,11100000,00000111,0 00000111 1
1776104051.558484,13/04/2026 15:14:11,186,98,10011000,00011001,0 00011001 1
1776104051.558529,13/04/2026 15:14:11,187,E0,11100000,00000111,0 00000111 1
1776104051.558571,13/04/2026 15:14:11,188,98,10011000,00011001,0 00011001 1
1776104051.558612,13/04/2026 15:14:11,189,E0,11100000,00000111,0 00000111 1
1776104051.558653,13/04/2026 15:14:11,190,18,00011000,00011000,0 00011000 1
1776104051.558698,13/04/2026 15:14:11,191,E0,11100000,00000111,0 00000111 1
1776104051.558743,13/04/2026 15:14:11,192,18,00011000,00011000,0 00011000 1
1776104051.558783,13/04/2026 15:14:11,193,E0,11100000,00000111,0 00000111 1
1776104051.558823,13/04/2026 15:14:11,194,18,00011000,00011000,0 00011000 1
1776104051.558864,13/04/2026 15:14:11,195,E0,11100000,00000111,0 00000111 1
1776104051.558905,13/04/2026 15:14:11,196,98,10011000,00011001,0 00011001 1
1776104051.567377,13/04/2026 15:14:11,197,1E,00011110,01111000,0 01111000 1
1776104051.567519,13/04/2026 15:14:11,198,18,00011000,00011000,0 00011000 1
1776104051.567608,13/04/2026 15:14:11,199,06,00000110,01100000,0 01100000 1
1776104051.567695,13/04/2026 15:14:11,200,FE,11111110,01111111,0 01111111 1
1776104061.578558,13/04/2026 15:14:21,201,00,00000000,00000000,0 00000000 1
1776104061.578719,13/04/2026 15:14:21,202,18,00011000,00011000,0 00011000 1
1776104061.578776,13/04/2026 15:14:21,203,E0,11100000,00000111,0 00000111 1
1776104061.578823,13/04/2026 15:14:21,204,18,00011000,00011000,0 00011000 1
1776104061.578867,13/04/2026 15:14:21,205,E0,11100000,00000111,0 00000111 1
1776104061.578910,13/04/2026 15:14:21,206,98,10011000,00011001,0 00011001 1
1776104061.578953,13/04/2026 15:14:21,207,E0,11100000,00000111,0 00000111 1
1776104061.578994,13/04/2026 15:14:21,208,98,10011000,00011001,0 00011001 1
1776104061.579035,13/04/2026 15:14:21,209,E0,11100000,00000111,0 00000111 1
1776104061.579080,13/04/2026 15:14:21,210,18,00011000,00011000,0 00011000 1
1776104061.579127,13/04/2026 15:14:21,211,E0,11100000,00000111,0 00000111 1
1776104061.579168,13/04/2026 15:14:21,212,18,00011000,00011000,0 00011000 1
1776104061.579210,13/04/2026 15:14:21,213,E0,11100000,00000111,0 00000111 1
1776104061.579279,13/04/2026 15:14:21,214,18,00011000,00011000,0 00011000 1
1776104061.579323,13/04/2026 15:14:21,215,E0,11100000,00000111,0 00000111 1
1776104061.579363,13/04/2026 15:14:21,216,98,10011000,00011001,0 00011001 1
1776104061.586224,13/04/2026 15:14:21,217,1E,00011110,01111000,0 01111000 1
1776104061.586363,13/04/2026 15:14:21,218,18,00011000,00011000,0 00011000 1
1776104061.586419,13/04/2026 15:14:21,219,06,00000110,01100000,0 01100000 1
1776104061.586471,13/04/2026 15:14:21,220,FE,11111110,01111111,0 01111111 1
1776104071.598999,13/04/2026 15:14:31,221,00,00000000,00000000,0 00000000 1
1776104071.599164,13/04/2026 15:14:31,222,18,00011000,00011000,0 00011000 1
1776104071.599224,13/04/2026 15:14:31,223,E0,11100000,00000111,0 00000111 1
1776104071.599271,13/04/2026 15:14:31,224,18,00011000,00011000,0 00011000 1
1776104071.599317,13/04/2026 15:14:31,225,E0,11100000,00000111,0 00000111 1
1776104071.599362,13/04/2026 15:14:31,226,98,10011000,00011001,0 00011001 1
1776104071.599406,13/04/2026 15:14:31,227,E0,11100000,00000111,0 00000111 1
1776104071.599447,13/04/2026 15:14:31,228,98,10011000,00011001,0 00011001 1
1776104071.599488,13/04/2026 15:14:31,229,E0,11100000,00000111,0 00000111 1
1776104071.599527,13/04/2026 15:14:31,230,18,00011000,00011000,0 00011000 1
1776104071.599570,13/04/2026 15:14:31,231,E0,11100000,00000111,0 00000111 1
1776104071.599611,13/04/2026 15:14:31,232,18,00011000,00011000,0 00011000 1
1776104071.599652,13/04/2026 15:14:31,233,E0,11100000,00000111,0 00000111 1
1776104071.599694,13/04/2026 15:14:31,234,18,00011000,00011000,0 00011000 1
1776104071.599735,13/04/2026 15:14:31,235,E0,11100000,00000111,0 00000111 1
1776104071.599776,13/04/2026 15:14:31,236,98,10011000,00011001,0 00011001 1
1776104071.606672,13/04/2026 15:14:31,237,1E,00011110,01111000,0 01111000 1
1776104071.606810,13/04/2026 15:14:31,238,18,00011000,00011000,0 00011000 1
1776104071.606870,13/04/2026 15:14:31,239,06,00000110,01100000,0 01100000 1
1776104071.606926,13/04/2026 15:14:31,240,FE,11111110,01111111,0 01111111 1
1776104081.619438,13/04/2026 15:14:41,241,00,00000000,00000000,0 00000000 1
1776104081.619605,13/04/2026 15:14:41,242,18,00011000,00011000,0 00011000 1
1776104081.619663,13/04/2026 15:14:41,243,E0,11100000,00000111,0 00000111 1
1776104081.619710,13/04/2026 15:14:41,244,18,00011000,00011000,0 00011000 1
1776104081.619755,13/04/2026 15:14:41,245,E0,11100000,00000111,0 00000111 1
1776104081.619811,13/04/2026 15:14:41,246,98,10011000,00011001,0 00011001 1
1776104081.619863,13/04/2026 15:14:41,247,E0,11100000,00000111,0 00000111 1
1776104081.619910,13/04/2026 15:14:41,248,98,10011000,00011001,0 00011001 1
1776104081.619954,13/04/2026 15:14:41,249,E0,11100000,00000111,0 00000111 1
1776104081.619998,13/04/2026 15:14:41,250,18,00011000,00011000,0 00011000 1
1776104081.620041,13/04/2026 15:14:41,251,E0,11100000,00000111,0 00000111 1
1776104081.620083,13/04/2026 15:14:41,252,18,00011000,00011000,0 00011000 1
1776104081.620124,13/04/2026 15:14:41,253,E0,11100000,00000111,0 00000111 1
1776104081.620166,13/04/2026 15:14:41,254,18,00011000,00011000,0 00011000 1
1776104081.620209,13/04/2026 15:14:41,255,E0,11100000,00000111,0 00000111 1
1776104081.620251,13/04/2026 15:14:41,256,98,10011000,00011001,0 00011001 1
1776104081.627114,13/04/2026 15:14:41,257,1E,00011110,01111000,0 01111000 1
1776104081.627275,13/04/2026 15:14:41,258,18,00011000,00011000,0 00011000 1
1776104081.627337,13/04/2026 15:14:41,259,06,00000110,01100000,0 01100000 1
1776104081.627392,13/04/2026 15:14:41,260,FE,11111110,01111111,0 01111111 1
1776104091.639884,13/04/2026 15:14:51,261,00,00000000,00000000,0 00000000 1
1776104091.640047,13/04/2026 15:14:51,262,18,00011000,00011000,0 00011000 1
1776104091.640103,13/04/2026 15:14:51,263,E0,11100000,00000111,0 00000111 1
1776104091.640148,13/04/2026 15:14:51,264,18,00011000,00011000,0 00011000 1
1776104091.640192,13/04/2026 15:14:51,265,E0,11100000,00000111,0 00000111 1
1776104091.640235,13/04/2026 15:14:51,266,98,10011000,00011001,0 00011001 1
1776104091.640282,13/04/2026 15:14:51,267,E0,11100000,00000111,0 00000111 1
1776104091.640322,13/04/2026 15:14:51,268,98,10011000,00011001,0 00011001 1
1776104091.640361,13/04/2026 15:14:51,269,E0,11100000,00000111,0 00000111 1
1776104091.640402,13/04/2026 15:14:51,270,18,00011000,00011000,0 00011000 1
1776104091.640443,13/04/2026 15:14:51,271,E0,11100000,00000111,0 00000111 1
1776104091.640481,13/04/2026 15:14:51,272,18,00011000,00011000,0 00011000 1
1776104091.640522,13/04/2026 15:14:51,273,E0,11100000,00000111,0 00000111 1
1776104091.640563,13/04/2026 15:14:51,274,18,00011000,00011000,0 00011000 1
1776104091.640602,13/04/2026 15:14:51,275,E0,11100000,00000111,0 00000111 1
1776104091.640641,13/04/2026 15:14:51,276,98,10011000,00011001,0 00011001 1
1776104091.647556,13/04/2026 15:14:51,277,1E,00011110,01111000,0 01111000 1
1776104091.647690,13/04/2026 15:14:51,278,18,00011000,00011000,0 00011000 1
1776104091.647746,13/04/2026 15:14:51,279,06,00000110,01100000,0 01100000 1
1776104091.647823,13/04/2026 15:14:51,280,FE,11111110,01111111,0 01111111 1
1776104101.660325,13/04/2026 15:15:01,281,00,00000000,00000000,0 00000000 1
1776104101.660494,13/04/2026 15:15:01,282,18,00011000,00011000,0 00011000 1
1776104101.660564,13/04/2026 15:15:01,283,E0,11100000,00000111,0 00000111 1
1776104101.660624,13/04/2026 15:15:01,284,18,00011000,00011000,0 00011000 1
1776104101.660682,13/04/2026 15:15:01,285,E0,11100000,00000111,0 00000111 1
1776104101.660738,13/04/2026 15:15:01,286,98,10011000,00011001,0 00011001 1
1776104101.660798,13/04/2026 15:15:01,287,E0,11100000,00000111,0 00000111 1
1776104101.660858,13/04/2026 15:15:01,288,98,10011000,00011001,0 00011001 1
1776104101.660922,13/04/2026 15:15:01,289,E0,11100000,00000111,0 00000111 1
1776104101.660983,13/04/2026 15:15:01,290,18,00011000,00011000,0 00011000 1
1776104101.661047,13/04/2026 15:15:01,291,E0,11100000,00000111,0 00000111 1
1776104101.661112,13/04/2026 15:15:01,292,18,00011000,00011000,0 00011000 1
1776104101.661172,13/04/2026 15:15:01,293,E0,11100000,00000111,0 00000111 1
1776104101.661229,13/04/2026 15:15:01,294,18,00011000,00011000,0 00011000 1
1776104101.661281,13/04/2026 15:15:01,295,E0,11100000,00000111,0 00000111 1
1776104101.661333,13/04/2026 15:15:01,296,98,10011000,00011001,0 00011001 1
1776104101.669004,13/04/2026 15:15:01,297,1E,00011110,01111000,0 01111000 1
1776104101.669140,13/04/2026 15:15:01,298,18,00011000,00011000,0 00011000 1
1776104101.669223,13/04/2026 15:15:01,299,06,00000110,01100000,0 01100000 1
1776104101.669297,13/04/2026 15:15:01,300,FE,11111110,01111111,0 01111111 1
1776104111.680769,13/04/2026 15:15:11,301,00,00000000,00000000,0 00000000 1
1776104111.680936,13/04/2026 15:15:11,302,18,00011000,00011000,0 00011000 1
1776104111.680993,13/04/2026 15:15:11,303,E0,11100000,00000111,0 00000111 1
1776104111.681041,13/04/2026 15:15:11,304,18,00011000,00011000,0 00011000 1
1776104111.681086,13/04/2026 15:15:11,305,E0,11100000,00000111,0 00000111 1
1776104111.681128,13/04/2026 15:15:11,306,98,10011000,00011001,0 00011001 1
1776104111.681170,13/04/2026 15:15:11,307,E0,11100000,00000111,0 00000111 1
1776104111.681211,13/04/2026 15:15:11,308,98,10011000,00011001,0 00011001 1
1776104111.681252,13/04/2026 15:15:11,309,E0,11100000,00000111,0 00000111 1
1776104111.681293,13/04/2026 15:15:11,310,18,00011000,00011000,0 00011000 1
1776104111.681336,13/04/2026 15:15:11,311,E0,11100000,00000111,0 00000111 1
1776104111.681377,13/04/2026 15:15:11,312,18,00011000,00011000,0 00011000 1
1776104111.681420,13/04/2026 15:15:11,313,E0,11100000,00000111,0 00000111 1
1776104111.681462,13/04/2026 15:15:11,314,18,00011000,00011000,0 00011000 1
1776104111.681504,13/04/2026 15:15:11,315,E0,11100000,00000111,0 00000111 1
1776104111.681546,13/04/2026 15:15:11,316,98,10011000,00011001,0 00011001 1
1776104111.690054,13/04/2026 15:15:11,317,1E,00011110,01111000,0 01111000 1
1776104111.690187,13/04/2026 15:15:11,318,18,00011000,00011000,0 00011000 1
1776104111.690266,13/04/2026 15:15:11,319,06,00000110,01100000,0 01100000 1
